Judul Masakan,Waktu Masak,Tingkat Kesulitan,Jumlah Porsi,Bahan-bahan,URL Sumber,Bahan-bahan_cleaned,Bahan-bahan_cleaned_nostop,bahan-bahan_fix,Waktu Masak (menit),Jumlah Porsi (int),Tingkat Kesulitan (ordinal),bahan_list,asam jawa,bawang,bawang merah,bawang putih,cabai,cabai hijau,cabai merah,cabai rawit,cengkih,cuka,daging ayam,daging kambing,daging sapi,daun bawang,daun jeruk,daun salam,garam,gula,gula merah,gula pasir,ikan,jagung,jahe,jamur,jeruk nipis,kacang,kaldu ayam,kaldu sapi,kayu manis,kecap manis,kemangi,kemiri,kencur,ketumbar,kol,kunyit,lengkuas,limau,merica,santan,seledri,serai,tahu,telur,tempe,tomat,udang,wijen,wortel
Resep Ikan Patin Bumbu Kuning Gurih dan Sedap,1jam,Sedang,4 Porsi,"700 g             				ikan patin, potong 4 bagian, 2 sdm             				air jeruk nipis, ½ sdm             				garam, 4 lembar             				daun jeruk, 3 cm             				lengkuas, memarkan, 1 lembar             				daun salam, 1 batang             				serai, memarkan, 700 ml             				air, 65 ml             				santan instan, 10 buah             				cabai rawit merah utuh, 1 sdtRoyco Kaldu Ayam, 2 buah             				tomat, potong 4 bagian, 15 tangkai             				kemangi, petiki daunnya, Minyak, untuk menggoreng, 10 butir             				bawang merah, 5 siung             				bawang putih, 3 buah             				cabai merah besar, 4 cm             				kunyit, 1 sdm             				ketumbar, ½ sdt             				merica putih",https://www.masakapahariini.com/resep/resep-ikan-patin-bumbu-kuning-gurih-dan-sedap/,"['g', 'ikan', 'patin', 'potong', 'bagian', 'sdm', 'air', 'jeruk', 'nipis', 'sdm', 'garam', 'lembar', 'daun', 'jeruk', 'cm', 'lengkuas', 'memarkan', 'lembar', 'daun', 'salam', 'batang', 'serai', 'memarkan', 'ml', 'air', 'ml', 'santan', 'instan', 'buah', 'cabai', 'rawit', 'merah', 'utuh', 'sdtroyco', 'kaldu', 'ayam', 'buah', 'tomat', 'potong', 'bagian', 'tangkai', 'kemangi', 'petiki', 'daunnya', 'minyak', 'untuk', 'menggoreng', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'buah', 'cabai', 'merah', 'besar', 'cm', 'kunyit', 'sdm', 'ketumbar', 'sdt', 'merica', 'putih']","['ikan', 'patin', 'jeruk', 'nipis', 'garam', 'daun', 'jeruk', 'lengkuas', 'daun', 'salam', 'serai', 'santan', 'cabai', 'rawit', 'merah', 'kaldu', 'ayam', 'tomat', 'tangkai', 'kemangi', 'daunnya', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'cabai', 'merah', 'kunyit', 'ketumbar', 'merica', 'putih']","bawang putih, bawang merah, kaldu ayam, cabai merah, cabai rawit, daun salam, daun jeruk, jeruk nipis, garam, merica, serai, lengkuas, ketumbar, santan, tomat, kunyit, ikan, kemangi",60,4,2.0,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun salam', 'daun jeruk', 'jeruk nipis', 'garam', 'merica', 'serai', 'lengkuas', 'ketumbar', 'santan', 'tomat', 'kunyit', 'ikan', 'kemangi']",0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
"Resep Sayur Kacang Merah Sunda, Gurih dan Segar",1j 30mnt,Mudah,6 Porsi,"200 g             				daging sapi bagian sengkel atau sandung lamur, potong kotak 2 cm, 250 g             				kacang merah, 2.5 l             				air, untuk merebus, 1 buah             				tomat merah, potong 4 bagian, 5 siung             				bawang putih, iris tipis, 12 butir             				bawang merah, iris tipis, 2 buah             				cabai merah besar, iris serong, 1 batang             				daun bawang, iris kasar, 1 cm             				lengkuas, memarkan, 2 lembar             				daun salam, ½ sdmRoyco Kaldu Sapi, ½ sdm             				garam, 1 sdm             				gula merah sisir",https://www.masakapahariini.com/resep/resep-sayur-kacang-merah-sunda-gurih-dan-segar/,"['g', 'daging', 'sapi', 'bagian', 'sengkel', 'atau', 'sandung', 'lamur', 'potong', 'kotak', 'cm', 'g', 'kacang', 'merah', 'l', 'air', 'untuk', 'merebus', 'buah', 'tomat', 'merah', 'potong', 'bagian', 'siung', 'bawang', 'putih', 'iris', 'tipis', 'butir', 'bawang', 'merah', 'iris', 'tipis', 'buah', 'cabai', 'merah', 'besar', 'iris', 'serong', 'batang', 'daun', 'bawang', 'iris', 'kasar', 'cm', 'lengkuas', 'memarkan', 'lembar', 'daun', 'salam', 'sdmroyco', 'kaldu', 'sapi', 'sdm', 'garam', 'sdm', 'gula', 'merah', 'sisir']","['daging', 'sapi', 'sandung', 'lamur', 'kacang', 'merah', 'tomat', 'merah', 'bawang', 'putih', 'bawang', 'merah', 'cabai', 'merah', 'daun', 'bawang', 'lengkuas', 'daun', 'salam', 'kaldu', 'sapi', 'garam', 'gula', 'merah']","bawang putih, bawang merah, cabai merah, daun salam, daun bawang, kaldu sapi, daging sapi, gula merah, garam, lengkuas, tomat, kacang",90,6,1.0,"['bawang putih', 'bawang merah', 'cabai merah', 'daun salam', 'daun bawang', 'kaldu sapi', 'daging sapi', 'gula merah', 'garam', 'lengkuas', 'tomat', 'kacang']",0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Resep Acar Timur Wortel Praktis dan Segar, Pelengkap Berbagai Masakan",30mnt,Mudah,8 Porsi,"200 g             				(2 buah) timun, 1 buah             				wortel, kupas, potong kotak 1 cm, 16 buah             				cabai rawit hijau utuh, 12 butir             				bawang merah, potong 2 bagian, 200 ml             				air matang, 2 sdm             				cuka, 1 sdm             				gula pasir, 1 sdtRoyco Kaldu Jamur, 1 sdt             				garam",https://www.masakapahariini.com/resep/resep-acar-timur-wortel-praktis-dan-segar/,"['g', 'buah', 'timun', 'buah', 'wortel', 'kupas', 'potong', 'kotak', 'cm', 'buah', 'cabai', 'rawit', 'hijau', 'utuh', 'butir', 'bawang', 'merah', 'potong', 'bagian', 'ml', 'air', 'matang', 'sdm', 'cuka', 'sdm', 'gula', 'pasir', 'sdtroyco', 'kaldu', 'jamur', 'sdt', 'garam']","['timun', 'wortel', 'cabai', 'rawit', 'hijau', 'bawang', 'merah', 'cuka', 'gula', 'pasir', 'kaldu', 'jamur', 'garam']","bawang merah, cabai rawit, gula pasir, garam, wortel, jamur, cuka",30,8,1.0,"['bawang merah', 'cabai rawit', 'gula pasir', 'garam', 'wortel', 'jamur', 'cuka']",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Resep Pepes Ikan Nila Bumbu Kuning, Sedap dan Bumbunya Meresap",1j 30mnt,Sedang,4 Porsi,"2 ekor             				(650-800 g) ikan nila, siangi, 80 g             				daun kemangi, petiki daunnya, 10 buah             				buah cabai rawit merah utuh, 2 buah             				jeruk nipis, ambil airnya, 3 cm             				lengkuas, memarkan, 2 batang             				serai, ambil bagian putihnya, memarkan, 2 lembar             				daun jeruk, buang tulang daunnya, 2 lembar             				daun salam, 2 sdm             				santan instan, ½ sdm             				asam jawa, larutkan dengan 2 sdm air panas, ½ sdmRoyco Kaldu Ayam, 2 sdmBango Kecap Manis Light, 3 sdm             				minyak, untuk menumis, Daun pisang, untuk membungkus, 10 siung             				bawang merah, 6 buah             				cabai merah besar, 4 siung             				bawang putih, 3 cm             				kunyit, bakar, 3 butir             				kemiri, sangrai, 2 cm             				jahe",https://www.masakapahariini.com/resep/resep-pepes-ikan-nila-bumbu-kuning-sedap-dan-bumbunya-meresap/,"['ekor', 'g', 'ikan', 'nila', 'siangi', 'g', 'daun', 'kemangi', 'petiki', 'daunnya', 'buah', 'buah', 'cabai', 'rawit', 'merah', 'utuh', 'buah', 'jeruk', 'nipis', 'ambil', 'airnya', 'cm', 'lengkuas', 'memarkan', 'batang', 'serai', 'ambil', 'bagian', 'putihnya', 'memarkan', 'lembar', 'daun', 'jeruk', 'buang', 'tulang', 'daunnya', 'lembar', 'daun', 'salam', 'sdm', 'santan', 'instan', 'sdm', 'asam', 'jawa', 'larutkan', 'dengan', 'sdm', 'air', 'panas', 'sdmroyco', 'kaldu', 'ayam', 'sdmbango', 'kecap', 'manis', 'light', 'sdm', 'minyak', 'untuk', 'menumis', 'daun', 'pisang', 'untuk', 'membungkus', 'siung', 'bawang', 'merah', 'buah', 'cabai', 'merah', 'besar', 'siung', 'bawang', 'putih', 'cm', 'kunyit', 'bakar', 'butir', 'kemiri', 'sangrai', 'cm', 'jahe']","['ikan', 'nila', 'daun', 'kemangi', 'daunnya', 'cabai', 'rawit', 'merah', 'jeruk', 'nipis', 'lengkuas', 'serai', 'daun', 'jeruk', 'tulang', 'daunnya', 'daun', 'salam', 'santan', 'asam', 'jawa', 'kaldu', 'ayam', 'kecap', 'manis', 'minyak', 'daun', 'pisang', 'bawang', 'merah', 'cabai', 'merah', 'bawang', 'putih', 'kunyit', 'kemiri', 'jahe']","bawang putih, bawang merah, kecap manis, kaldu ayam, cabai merah, cabai rawit, daun salam, daun jeruk, jeruk nipis, asam jawa, serai, jahe, lengkuas, kemiri, santan, kunyit, ikan, kemangi",90,4,2.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun salam', 'daun jeruk', 'jeruk nipis', 'asam jawa', 'serai', 'jahe', 'lengkuas', 'kemiri', 'santan', 'kunyit', 'ikan', 'kemangi']",1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"Resep Kue Kacang Jadul Simpel, Lembut dan Lumer di Mulut",2j 30mnt,Mudah,8 Porsi,"500 g             				tepung terigu protein rendah, 250 g             				peanut butter, 100 g             				gula halus, ½ sdm             				garam, 2 sdm             				mentega tawar, 200 ml             				minyak, 2 kuning telur, 1 sdm             				minyak, Wijen putih",https://www.masakapahariini.com/resep/resep-kue-kacang-jadul-simpel-dan-lembut/,"['g', 'tepung', 'terigu', 'protein', 'rendah', 'g', 'peanut', 'butter', 'g', 'gula', 'halus', 'sdm', 'garam', 'sdm', 'mentega', 'tawar', 'ml', 'minyak', 'kuning', 'telur', 'sdm', 'minyak', 'wijen', 'putih']","['tepung', 'terigu', 'protein', 'peanut', 'butter', 'gula', 'garam', 'mentega', 'tawar', 'minyak', 'kuning', 'telur', 'minyak', 'wijen', 'putih']","gula, garam, telur, wijen",150,8,1.0,"['gula', 'garam', 'telur', 'wijen']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Resep Mendol Tempe Gurih, Lauk Enak Untuk Tanggal Tua",Waktu tidak ditemukan,Kesulitan tidak ditemukan,1 Porsi,"300 g             				(1 papan) tempe, 4 lembar             				 daun jeruk, buang tulang daunnya, cincang, 1 sdmBango Kecap Manis Hitam Gurih, ½ sdmRoyco Kaldu Ayam, 1 sdm             				tepung beras, Minyak, untuk menggoreng, 5 butir             				bawang merah, 3 siung             				bawang putih, 3 buah             				cabai rawit merah, 3 cm             				kencur, ½ sdt             				ketumbar",https://www.masakapahariini.com/resep/resep-mendol-tempe-gurih-lauk-enak-untuk-tanggal-tua/,"['g', 'papan', 'tempe', 'lembar', 'daun', 'jeruk', 'buang', 'tulang', 'daunnya', 'cincang', 'sdmbango', 'kecap', 'manis', 'hitam', 'gurih', 'sdmroyco', 'kaldu', 'ayam', 'sdm', 'tepung', 'beras', 'minyak', 'untuk', 'menggoreng', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'buah', 'cabai', 'rawit', 'merah', 'cm', 'kencur', 'sdt', 'ketumbar']","['tempe', 'daun', 'jeruk', 'tulang', 'daunnya', 'kecap', 'manis', 'gurih', 'kaldu', 'ayam', 'tepung', 'beras', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'cabai', 'rawit', 'merah', 'kencur', 'ketumbar']","bawang putih, bawang merah, kecap manis, kaldu ayam, cabai rawit, daun jeruk, ketumbar, tempe, kencur",0,1,,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'daun jeruk', 'ketumbar', 'tempe', 'kencur']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Resep Sop Tulang Sapi yang Kuahnya Enak Banget dan Bikin Nagih,2jam,Sedang,6 Porsi,"750 g             				tulang sapi, 200 g             				wortel, potong serong, 150 g             				buncis, potong 3 cm, 3 batang             				seledri, ikat simpul, 1 batang             				daun bawang, iris halus, 1 buah             				tomat, potong 6 bagian, 5 cm             				kayu manis, ½ butir             				pala, memarkan, 1 sdmRoyco Kaldu Sapi, 3500 ml             				air, untuk merebus, 2 sdm             				minyak, untuk menumis, 8 siung             				bawang merah, 5 siung             				bawang putih, 2 cm             				jahe, ½ sdm             				garam, 1 sdt             				merica putih bubuk",https://www.masakapahariini.com/resep/resep-sop-tulang-sapi-yang-enak-banget/,"['g', 'tulang', 'sapi', 'g', 'wortel', 'potong', 'serong', 'g', 'buncis', 'potong', 'cm', 'batang', 'seledri', 'ikat', 'simpul', 'batang', 'daun', 'bawang', 'iris', 'halus', 'buah', 'tomat', 'potong', 'bagian', 'cm', 'kayu', 'manis', 'butir', 'pala', 'memarkan', 'sdmroyco', 'kaldu', 'sapi', 'ml', 'air', 'untuk', 'merebus', 'sdm', 'minyak', 'untuk', 'menumis', 'siung', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'cm', 'jahe', 'sdm', 'garam', 'sdt', 'merica', 'putih', 'bubuk']","['tulang', 'sapi', 'wortel', 'buncis', 'seledri', 'daun', 'bawang', 'tomat', 'kayu', 'manis', 'pala', 'kaldu', 'sapi', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'jahe', 'garam', 'merica', 'putih']","bawang putih, bawang merah, daun bawang, kaldu sapi, kayu manis, garam, merica, jahe, tomat, seledri, wortel",120,6,2.0,"['bawang putih', 'bawang merah', 'daun bawang', 'kaldu sapi', 'kayu manis', 'garam', 'merica', 'jahe', 'tomat', 'seledri', 'wortel']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Resep Sambal Pete Cumi Pedas Nagih yang Bikin Boros Nasi,1jam,Mudah,6 Porsi,"200 g             				cumi asin, 2 papan             				pete, kupas, potong 2-3 bagian, 7 lembar             				daun jeruk, buang tulang daunnya, 1 sdmBango Kecap Manis, 1 sdtRoyco Kaldu Ayam, 4 sdm             				minyak, untuk menumis, 20 buah             				cabai rawit merah, 18 butir             				bawang merah, 6 siung             				bawang putih",https://www.masakapahariini.com/resep/resep-sambal-pete-cumi-yang-bikin-boros-nasi/,"['g', 'cumi', 'asin', 'papan', 'pete', 'kupas', 'potong', 'bagian', 'lembar', 'daun', 'jeruk', 'buang', 'tulang', 'daunnya', 'sdmbango', 'kecap', 'manis', 'sdtroyco', 'kaldu', 'ayam', 'sdm', 'minyak', 'untuk', 'menumis', 'buah', 'cabai', 'rawit', 'merah', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih']","['cumi', 'asin', 'pete', 'daun', 'jeruk', 'tulang', 'daunnya', 'kecap', 'manis', 'kaldu', 'ayam', 'minyak', 'cabai', 'rawit', 'merah', 'bawang', 'merah', 'bawang', 'putih']","bawang putih, bawang merah, kecap manis, kaldu ayam, cabai rawit, daun jeruk",60,6,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'daun jeruk']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Resep Sambal Matah Khas Bali, Pedasnya Bikin Melek",20mnt,Mudah,6 Porsi,"100 ml             				minyak kelapa, 12 buah             				cabai rawit merah, iris tipis, 10 butir             				bawang merah, iris tipis, 3 siung             				bawang putih, iris tipis, 1 batang             				serai, ambil bagian putihnya, cincang halus, 3 lembar             				daun jeruk, buang tulang daunnya, iris tipis, ½ sdtRoyco Kaldu Ayam, 1 sdt             				terasi bakar",https://www.masakapahariini.com/resep/resep-sambal-matah-khas-bali-pedasnya-bikin-melek/,"['ml', 'minyak', 'kelapa', 'buah', 'cabai', 'rawit', 'merah', 'iris', 'tipis', 'butir', 'bawang', 'merah', 'iris', 'tipis', 'siung', 'bawang', 'putih', 'iris', 'tipis', 'batang', 'serai', 'ambil', 'bagian', 'putihnya', 'cincang', 'halus', 'lembar', 'daun', 'jeruk', 'buang', 'tulang', 'daunnya', 'iris', 'tipis', 'sdtroyco', 'kaldu', 'ayam', 'sdt', 'terasi', 'bakar']","['minyak', 'kelapa', 'cabai', 'rawit', 'merah', 'bawang', 'merah', 'bawang', 'putih', 'serai', 'daun', 'jeruk', 'tulang', 'daunnya', 'kaldu', 'ayam', 'terasi']","bawang putih, bawang merah, kaldu ayam, cabai rawit, daun jeruk, serai",20,6,1.0,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai rawit', 'daun jeruk', 'serai']",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Resep Mie Sop Medan, Kuahnya Berempah dan Gurih",2jam,Mudah,5 Porsi,"1 ekor             				ayam kampung, potong 4 bagian, 2 l             				air, untuk merebus, 150 g             				bihun Medan, rebus hingga matang, tiriskan, 150 g             				mi kuning, blansir, 2 buah             				tomat, potong 8 bagian, 5 butir             				kapulaga, 5 cm             				kayu manis, 5 butir             				cengkih, 2 butir             				pekak, ½ butir             				pala, memarkan, 3 lembar             				daun salam, 1 batang             				serai, memarkan, 1 sdmBango Kecap Manis, ½ sdmRoyco Kaldu Ayam, 3 sdm             				minyak, untuk menumis, 8 butir             				bawang merah, 6 siung             				bawang putih, 3 butir             				kemiri sangrai, 2 cm             				jahe, ½ sdm             				garam, 3 buah             				jeruk nipis, potong 5 bagian, Bawang goreng, 2 batang             				seledri, iris tipis, Sambal rawit",https://www.masakapahariini.com/resep/resep-mie-sop-medan/,"['ekor', 'ayam', 'kampung', 'potong', 'bagian', 'l', 'air', 'untuk', 'merebus', 'g', 'bihun', 'medan', 'rebus', 'hingga', 'matang', 'tiriskan', 'g', 'mi', 'kuning', 'blansir', 'buah', 'tomat', 'potong', 'bagian', 'butir', 'kapulaga', 'cm', 'kayu', 'manis', 'butir', 'cengkih', 'butir', 'pekak', 'butir', 'pala', 'memarkan', 'lembar', 'daun', 'salam', 'batang', 'serai', 'memarkan', 'sdmbango', 'kecap', 'manis', 'sdmroyco', 'kaldu', 'ayam', 'sdm', 'minyak', 'untuk', 'menumis', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'butir', 'kemiri', 'sangrai', 'cm', 'jahe', 'sdm', 'garam', 'buah', 'jeruk', 'nipis', 'potong', 'bagian', 'bawang', 'goreng', 'batang', 'seledri', 'iris', 'tipis', 'sambal', 'rawit']","['ayam', 'bihun', 'medan', 'mi', 'kuning', 'tomat', 'kapulaga', 'kayu', 'manis', 'cengkih', 'pekak', 'pala', 'daun', 'salam', 'serai', 'kecap', 'manis', 'kaldu', 'ayam', 'minyak', 'bawang', 'merah', 'bawang', 'putih', 'kemiri', 'jahe', 'garam', 'jeruk', 'nipis', 'bawang', 'goreng', 'seledri', 'sambal', 'rawit']","bawang putih, bawang merah, kecap manis, kaldu ayam, daun salam, jeruk nipis, kayu manis, bawang, garam, serai, jahe, kemiri, tomat, seledri, cengkih",120,5,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'daun salam', 'jeruk nipis', 'kayu manis', 'bawang', 'garam', 'serai', 'jahe', 'kemiri', 'tomat', 'seledri', 'cengkih']",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Resep Gudeg Ceker Solo Enak dan Bumbunya Meresap,2jam,Mudah,5 Porsi,"1 kg             				ceker atau kaki ayam (pilih ukuran besar), 600 ml             				air kelapa, 500 ml             				air, 65 ml             				santan instan, 5 lembar             				daun salam, 4 cm             				lengkuas, iris, 6 sdmBango Kecap Manis, 2 sdtRoyco Kaldu Ayam, 12 butir             				bawang merah, 6 siung             				bawang putih, 8 butir             				kemiri sangrai, 1 sdm             				ketumbar sangrai, 1 sdt             				garam",https://www.masakapahariini.com/resep/resep-gudeg-ceker-solo-enak-dan-bumbunya-meresap/,"['kg', 'ceker', 'atau', 'kaki', 'ayam', 'pilih', 'ukuran', 'besar', 'ml', 'air', 'kelapa', 'ml', 'air', 'ml', 'santan', 'instan', 'lembar', 'daun', 'salam', 'cm', 'lengkuas', 'iris', 'sdmbango', 'kecap', 'manis', 'sdtroyco', 'kaldu', 'ayam', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'butir', 'kemiri', 'sangrai', 'sdm', 'ketumbar', 'sangrai', 'sdt', 'garam']","['ceker', 'kaki', 'ayam', 'pilih', 'kelapa', 'santan', 'daun', 'salam', 'lengkuas', 'kecap', 'manis', 'kaldu', 'ayam', 'bawang', 'merah', 'bawang', 'putih', 'kemiri', 'ketumbar', 'garam']","bawang putih, bawang merah, kecap manis, kaldu ayam, daun salam, garam, lengkuas, kemiri, ketumbar, santan",120,5,1.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'daun salam', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'santan']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Cara Membuat Siomay Sederhana a la Rumahan yang Lezat,1jam,Sedang,6 Porsi,"150 g dada ayam tanpa kulit, cincang, 150 g udang jerbung, kupas dan cincang, 200 g fillet ikan tenggiri, 250 g tepung kanji, 2 butir telur ayam, 15 lembar kulit pangsit, 5 siung bawang putih, 4 butir bawang merah, 2 sdtRoyco Kaldu Ayam, 1 sdt merica putih bubuk, 2 sdt gula pasir, 250 g kacang tanah, sangrai, 5 buah cabai merah besar, 5 butir bawang merah, 3 siung bawang putih, 1 sdm gula pasir, 1 sdt garam, 1 sdmBango Kecap Manis Pedas, 150 ml air, 2 buah jeruk limau",https://www.masakapahariini.com/resep/cara-membuat-siomay/,"['g', 'dada', 'ayam', 'tanpa', 'kulit', 'cincang', 'g', 'udang', 'jerbung', 'kupas', 'dan', 'cincang', 'g', 'fillet', 'ikan', 'tenggiri', 'g', 'tepung', 'kanji', 'butir', 'telur', 'ayam', 'lembar', 'kulit', 'pangsit', 'siung', 'bawang', 'putih', 'butir', 'bawang', 'merah', 'sdtroyco', 'kaldu', 'ayam', 'sdt', 'merica', 'putih', 'bubuk', 'sdt', 'gula', 'pasir', 'g', 'kacang', 'tanah', 'sangrai', 'buah', 'cabai', 'merah', 'besar', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'sdm', 'gula', 'pasir', 'sdt', 'garam', 'sdmbango', 'kecap', 'manis', 'pedas', 'ml', 'air', 'buah', 'jeruk', 'limau']","['dada', 'ayam', 'kulit', 'udang', 'jerbung', 'ikan', 'tenggiri', 'tepung', 'kanji', 'telur', 'ayam', 'kulit', 'pangsit', 'bawang', 'putih', 'bawang', 'merah', 'kaldu', 'ayam', 'merica', 'putih', 'gula', 'pasir', 'kacang', 'cabai', 'merah', 'bawang', 'merah', 'bawang', 'putih', 'gula', 'pasir', 'garam', 'kecap', 'manis', 'jeruk', 'limau']","bawang putih, bawang merah, kecap manis, kaldu ayam, cabai merah, gula pasir, limau, garam, merica, telur, kacang, ikan, udang",60,6,2.0,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'gula pasir', 'limau', 'garam', 'merica', 'telur', 'kacang', 'ikan', 'udang']",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"Cara Membuat Cimol Kopong, Gurih dan Anti Meledak",1jam,Mudah,5 Porsi,"200 g tepung tapioka, 100 g tepung terigu, 50 g bayam, 3 siung bawang putih, haluskan, 2 sdtRoyco Kaldu Ayam, ½ sdt gula pasir, ½ sdt merica putih bubuk, ½ sdt ketumbar bubuk, 150 ml air hangat, 500 ml minyak, untuk menggoreng, 50 ml air panas, 3 sdmBango Kecap Manis, 5 buah cabai rawit merah, iris tipis",https://www.masakapahariini.com/resep/cara-membuat-cimol/,"['g', 'tepung', 'tapioka', 'g', 'tepung', 'terigu', 'g', 'bayam', 'siung', 'bawang', 'putih', 'haluskan', 'sdtroyco', 'kaldu', 'ayam', 'sdt', 'gula', 'pasir', 'sdt', 'merica', 'putih', 'bubuk', 'sdt', 'ketumbar', 'bubuk', 'ml', 'air', 'hangat', 'ml', 'minyak', 'untuk', 'menggoreng', 'ml', 'air', 'panas', 'sdmbango', 'kecap', 'manis', 'buah', 'cabai', 'rawit', 'merah', 'iris', 'tipis']","['tepung', 'tapioka', 'tepung', 'terigu', 'bayam', 'bawang', 'putih', 'kaldu', 'ayam', 'gula', 'pasir', 'merica', 'putih', 'ketumbar', 'minyak', 'kecap', 'manis', 'cabai', 'rawit', 'merah']","bawang putih, kecap manis, kaldu ayam, cabai rawit, gula pasir, merica, ketumbar",60,5,1.0,"['bawang putih', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'gula pasir', 'merica', 'ketumbar']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Resep Roti Canai Renyah Seperti di Rumah Makan Aceh,1jam,Cukup Rumit,4 Porsi,"250 g tepung terigu serba guna, 1 sdtRoyco Kaldu Ayam, 175 ml air, 250 ml minyak sayur",https://www.masakapahariini.com/resep/cara-membuat-roti-canai/,"['g', 'tepung', 'terigu', 'serba', 'guna', 'sdtroyco', 'kaldu', 'ayam', 'ml', 'air', 'ml', 'minyak', 'sayur']","['tepung', 'terigu', 'serba', 'guna', 'kaldu', 'ayam', 'minyak', 'sayur']",kaldu ayam,60,4,3.0,['kaldu ayam'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
